"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-07-05","59","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-07-06","59","67","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-07-07","59","72","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-07-08","63","72","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-07-09","60","66","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-07-10","60","76","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-07-11","61","69","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-07-12","61","71","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-07-13","61","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-07-14","60","68","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-07-15","61","73","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-07-16","62","70","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-07-17","62","71","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-07-18","61","67","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-07-19","59","66","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-07-20","60","68","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-07-21","60","66","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-07-22","62","69","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-07-23","62","71","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-07-24","63","71","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-07-25","61","69","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-07-26","61","69","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-07-27","60","67","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-07-28","63","70","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-07-29","63","71","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-07-30","62","69","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-07-31","63","72","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-08-01","62","68","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-08-02","60","66","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-08-03","61","69","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-08-04","62","73","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-08-05","62","69","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-08-06","64","81","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-08-07","64","72","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-08-08","63","75","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-08-09","64","75","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-08-10","62","69","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-08-11","62","68","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-08-12","61","68","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-08-13","63","71","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-08-14","63","70","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-08-15","63","71","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-08-16","66","74","62"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-08-17","65","72","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-08-18","65","74","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-08-19","65","73","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-08-20","65","82","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-08-21","65","81","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-08-22","62","71","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-08-23","61","69","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-08-24","63","69","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-08-25","64","71","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-08-26","65","76","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-08-27","65","75","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-08-28",,"75","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-08-29",,"71","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-08-30",,"84","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-08-31",,"83","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-09-01",,"76","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-09-02",,"77","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-09-03",,"73","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-09-04",,"70","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-09-05",,"70","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-09-06",,"73","62"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-09-07",,"76","62"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-09-08",,"78","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-09-09",,"73","64"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-09-10",,"71","63"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-09-11",,"72","62"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-09-12",,"71","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-09-13",,"68","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-09-14",,"74","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-09-15",,"82","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-09-16",,"74","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-09-17",,"81","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-09-18",,"70","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-09-19",,"72","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-09-20",,"72","62"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-09-21",,"73","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-09-22",,"80","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-09-23",,"91","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-09-24",,"80","65"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-09-25",,"73","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-09-26",,"74","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-09-27",,"71","57"
